# time sm
0	108
33	108
40	107
48	106
53	105
59	104
62	103
63	102
74	101
76	100
77	99
80	98
81	97
87	96
91	95
102	94
105	93
106	92
112	91
116	90
118	89
120	88
128	87
139	86
142	85
146	84
150	83
158	82
161	81
162	80
169	79
170	77
171	73
171	72
173	71
175	70
176	69
181	68
182	67
188	66
190	65
196	64
200	63
203	60
209	59
217	58
223	57
229	56
235	55
240	54
242	53
245	52
257	49
261	46
267	45
273	44
273	43
276	42
281	41
294	40
297	39
304	38
308	35
308	34
311	33
316	31
316	29
324	28
339	27
350	26
358	25
364	24
369	23
379	21
384	19
399	18
437	14
458	12
479	11
488	10
494	9
525	8
652	7
726	6
726	5
755	4
1010	3
1151	2
1822	1
1823	0

