#  time  sm
0	108
7	108
11	90
17	75
22	59
27	48
32	40
38	36
52	33
60	29
71	24
78	21
96	20
103	16
121	15
144	11
186	10
190	9
195	8
200	7
207	6
322	5
342	4
350	3
458	2
639	1
640	0

