# Serie 	AdaMBEFinder	AdaMBEFinderRand	AdaMBEFinderUC
SO	80.271898	82.114526	81.320673
IM	25.44335	28.368976	28.319397
BX	185.824441	195.329538	193.896694
GH	193.827416	207.035946	204.117222

