# Serie 	U	V	pos
YG	0.813667	4.003185 0	
GH	132.267004	34.266387	1
BX	50.146872	608.660776	2
SO	25.416457	18.101889	3
TM	0.107109	1.89534	4
AM	0.190287	0.095569	5
IM	1.75973	0.605474	6
WC	0.630477	79.985053	7
Pa	0.112092	0.188444	8
Mti	0.074622	0.048032	9
WA	0.008529	0.007673	11
EE	12.839398	38.707751	3
	
