# Serie 	AmbeaFinder	AmbeaFinderInter	IntraFinder	IntraFinderPassive	MBEAFinder
AM	1.287146518	26.17870387	1.617754155	47.14757254	80.46733907
WC	0.417640424	1.598706902	0.778085176	1.666960553	5.91852089
YG	1.955899172	8.77134021	4.604656115	9.320417807	484.7134141
SO	1.62883971	82.94875218	3.531720139	100.104157	2056.58882
Pa	0.362983749	1.201806602	0.4988016	1.029759348	2.068737661
IM	1.385392149	32.6097424	2.27723587	54.97185091	149.7779749
BX	1.770756004	17.31534897	4.685481283	7.915362328	409.3115782
GH	3.523648964	33.81689809	8.358878621	15.32787182	2779.164014
