# Serie 		order0	order1	order2	order3	pos
Mti	0.264473	0.074622	0.339613	0.063566	9
WA	0.037506	0.008529	0.036316	0.010647	11
TM	0.555937	0.107109	0.607007	0.175448	10
AM	0.308055	0.190287	0.464201	0.25781	7
WC	2.064291	0.630477	3.068441	0.88325	5
YG	13.676787	0.813667	7.154632	6.759775	6
SO	333.271096	25.416457	0	211.96054	2
Pa	0.735336	0.112092	0.435833	0.21606	8
IM	12.202366	1.75973	37.324416	2.18319	4
EE	76.595835	12.839398	0	25.083718	3
BX	7200	50.146872	0	6232.932149	1
GH	7200	132.267004	0	7200	0
