# Serie 	naive	adv	pos
YG	2.706199	0.813667	6
GH	136.121281	132.267004	0
BX	50.36966	50.146872	1
SO	29.652918	25.416457	2
TM	0.567694	0.107109	10
AM	0.493988	0.190287	7
IM	3.690027	1.75973	4
WC	4.174749	0.630477	5
Pa	0.368634	0.112092	8
Mti	0.105025	0.074622	9
WA	0.017673	0.008529	11
EE	14.555743	12.839398	3
	
