# Serie 	prune	noprune	pos
YG	0.813667	2.914551	6
GH	132.267004	1191.009093	0
BX	50.146872	251.102387	1
SO	25.416457	139.942791	2
TM	0.107109	0.11132	10
AM	0.190287	0.848173	7
IM	1.75973	8.048778	4
WC	0.630477	0.687483	5
Pa	0.112092	0.152555	8
Mti	0.074622	0.367033	9
WA	0.008529	0.014501	11
EE	12.839398	147.320604	3
	
