# Serie	Baseline	BDS	LNC	AdaMBE
AM	18.028524	11.187378	14.679965	4.980376
WC	7.834604	5.058988	3.720179	2.714876
YG	20.006748	5.565039	15.664798	3.302413
SO	308.168664	102.578101	250.006119	80.271898
Pa	13.527234	9.453782	9.003455	8.444144
IM	138.818363	63.184651	95.485539	25.44335
BX	1971.230274	353.453146	1520.090801	185.824441
GH	3911.372085	367.04689	4235.39229	193.827416



