# Serie 	gmbea100	gmbe2080ti  gmbev100	pos
Mti	0.074622	0.097647 0.097514	9
WA	0.008529	0.01197 0.01338	11
TM	0.107109	0.186335 0.183851	10
AM	0.190287	0.512254 0.470786	7
WC	0.630477	0.714428 0.704114	5
YG	0.813667	1.026395 0.942977	 6
SO	25.416457	47.856499 40.949738	2
Pa	0.112092	0.264876 0.216624	8
IM	1.75973	4.216939 3.945794	4
EE	12.839398	25.083718 19.99952	3
BX	50.146872	101.840379 81.026007	1
GH	132.267004	237.022765 198.84953	0
